unicef_region,iso3,country,vaccine,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
ROSA,AFG,Afghanistan,MCV2,42,42,37,38,37,46,38,40,42,44,38,33,31,29,24,23,4,18,9,2,,,,
ECAR,ALB,Albania,MCV2,93,93,92,94,96,96,98,98,98,98,99,99,99,98,98,98,95,94,97,96,93,93,90,
MENA,DZA,Algeria,MCV2,93,71,73,74,76,77,92,96,99,99,93,95,96,95,98,96,95,98,94,94,96,93,73,78
Non-programme,AND,Andorra,MCV2,96,96,97,93,94,95,94,90,88,90,91,89,82,86,82,86,80,,,,,,,
ESAR,AGO,Angola,MCV2,35,25,22,29,33,23,18,16,16,,,,,,,,,,,,,,,
LACR,ATG,AntiguaandBarbuda,MCV2,87,91,76,80,80,95,95,68,84,99,87,90,89,92,94,83,78,68,46,,,,,
LACR,ARG,Argentina,MCV2,54,94,79,71,84,99,89,88,87,96,83,89,91,94,96,88,84,91,88,93,80,83,56,56
ECAR,ARM,Armenia,MCV2,96,94,94,94,96,96,97,97,97,97,97,97,98,97,96,94,93,85,92,94,93,95,96,94
Non-programme,AUS,Australia,MCV2,93,91,94,94,94,93,93,94,93,93,92,91,90,88,82,80,89,87,85,85,,,,
Non-programme,AUT,Austria,MCV2,94,94,97,88,86,84,84,89,88,87,82,78,73,69,64,62,56,61,54,47,46,39,34,35
ECAR,AZE,Azerbaijan,MCV2,93,91,90,79,97,96,97,98,98,98,98,95,92,89,83,79,75,68,67,67,66,67,65,
LACR,BHS,Bahamas,MCV2,53,65,80,83,83,69,76,74,76,72,69,73,79,78,76,80,84,88,88,95,,,,
MENA,BHR,Bahrain,MCV2,99,99,99,99,99,99,99,99,99,99,99,99,96,98,99,97,99,99,99,99,99,97,99,92
ROSA,BGD,Bangladesh,MCV2,93,93,93,93,93,93,93,92,90,89,82,41,,,,,,,,,,,,
LACR,BRB,Barbados,MCV2,76,73,70,78,77,74,77,87,89,91,89,90,94,96,97,97,96,94,98,99,71,41,12,
ECAR,BLR,Belarus,MCV2,95,98,98,98,98,98,98,98,99,98,99,97,99,99,99,99,99,95,98,98,98,98,97,92
Non-programme,BEL,Belgium,MCV2,82,83,83,83,82,82,82,82,80,80,80,80,83,83,83,81,78,78,,,,,,
LACR,BLZ,Belize,MCV2,88,76,77,87,95,91,88,96,95,92,92,93,98,91,92,90,89,92,87,,,,,
ROSA,BTN,Bhutan,MCV2,97,97,91,92,92,91,99,90,94,92,89,90,95,85,79,72,,,,,,,,
LACR,BOL,Bolivia(PlurinationalStateof),MCV2,50,49,56,46,44,38,,,,,,,,,,,,,,,,,,
ECAR,BIH,BosniaandHerzegovina,MCV2,63,60,63,60,68,76,80,78,88,92,93,94,88,91,88,92,95,93,90,88,85,90,86,74
ESAR,BWA,Botswana,MCV2,79,77,70,66,76,74,74,74,80,85,83,,,,,,,,,,,,,
LACR,BRA,Brazil,MCV2,64,58,46,44,54,76,67,77,80,89,69,70,71,53,55,56,49,55,61,68,74,80,95,95
EAPR,BRN,BruneiDarussalam,MCV2,99,99,99,97,98,98,98,97,97,96,92,96,93,93,99,90,92,94,95,97,96,96,95,95
ECAR,BGR,Bulgaria,MCV2,87,87,86,84,95,87,92,88,87,89,94,94,94,96,93,94,94,93,92,91,89,79,85,83
WCAR,BFA,BurkinaFaso,MCV2,71,71,71,71,71,71,65,59,50,17,,,,,,,,,,,,,,
ESAR,BDI,Burundi,MCV2,80,85,85,83,80,77,75,72,65,60,51,,,,,,,,,,,,,
WCAR,CPV,CaboVerde,MCV2,86,86,86,86,91,88,85,92,95,79,89,94,99,,,,,,,,,,,
EAPR,KHM,Cambodia,MCV2,64,69,63,72,75,64,67,64,59,61,52,41,,,,,,,,,,,,
WCAR,CMR,Cameroon,MCV2,45,36,28,22,,,,,,,,,,,,,,,,,,,,
Non-programme,CAN,Canada,MCV2,79,79,83,83,87,87,87,86,86,86,86,83,,,,,,,,,,,,
WCAR,TCD,Chad,MCV2,35,2,,,,,,,,,,,,,,,,,,,,,,
LACR,CHL,Chile,MCV2,70,81,91,83,91,93,90,87,89,88,78,74,77,84,89,89,95,95,96,96,,,,
EAPR,CHN,China,MCV2,95,99,99,99,98,99,99,99,99,99,99,99,99,99,98,95,92,94,84,,,,,
LACR,COL,Colombia,MCV2,84,84,86,88,89,88,89,87,86,88,72,80,76,74,71,70,93,85,73,70,70,93,83,84
ESAR,COM,Comoros,MCV2,79,79,19,,,,,,,,,,,,,,,,,,,,,
WCAR,COG,Congo,MCV2,34,34,31,29,9,,,,,,,,,,,,,,,,,,,
EAPR,COK,CookIslands,MCV2,77,51,67,82,98,99,95,90,95,98,95,98,96,98,61,95,98,99,97,86,88,61,50,70
LACR,CRI,CostaRica,MCV2,83,75,69,81,93,93,93,87,90,90,92,95,80,79,84,89,,,,,,,,
WCAR,CIV,Coted'Ivoire,MCV2,43,20,1,,,,,,,,,,,,,,,,,,,,,
ECAR,HRV,Croatia,MCV2,90,90,90,91,95,95,95,96,96,97,97,97,98,98,98,98,98,98,98,98,98,98,98,
LACR,CUB,Cuba,MCV2,99,99,99,99,99,99,99,99,99,98,97,96,95,98,95,98,99,97,53,,,,,
Non-programme,CYP,Cyprus,MCV2,80,88,88,88,88,88,88,88,88,88,88,88,88,88,88,89,93,,,,,,,
Non-programme,CZE,Czechia,MCV2,90,90,90,90,87,84,90,93,99,96,99,99,98,98,98,98,98,98,98,98,98,98,98,98
EAPR,PRK,DemocraticPeople'sRepublicofKorea,MCV2,16,0,91,99,98,99,98,98,85,76,76,76,76,76,75,75,,,,,,,,
WCAR,COD,DemocraticRepublicoftheCongo,MCV2,18,,,,,,,,,,,,,,,,,,,,,,,
Non-programme,DNK,Denmark,MCV2,93,94,94,90,90,90,88,85,80,84,86,87,86,85,85,87,88,91,91,88,88,92,87,
MENA,DJI,Djibouti,MCV2,64,48,48,60,81,81,81,81,82,82,82,82,,,,,,,,,,,,
LACR,DMA,Dominica,MCV2,87,87,87,90,92,81,81,92,94,89,91,94,94,95,95,95,95,99,99,99,99,99,62,
LACR,DOM,DominicanRepublic,MCV2,70,65,60,55,60,31,,,,,,,,,,,,,,,,,,
LACR,ECU,Ecuador,MCV2,60,60,58,70,76,74,73,64,76,59,70,81,92,91,99,,,,,,,,,
MENA,EGY,Egypt,MCV2,95,96,96,94,94,94,94,96,92,93,96,92,97,97,96,96,97,97,97,96,97,96,99,97
LACR,SLV,ElSalvador,MCV2,71,72,80,66,76,85,86,87,88,85,85,95,81,78,82,79,86,89,85,80,77,,,
WCAR,GNQ,EquatorialGuinea,MCV2,28,13,17,,,,,,,,,,,,,,,,,,,,,
ESAR,ERI,Eritrea,MCV2,85,85,85,85,85,85,88,88,88,,,,,,,,,,,,,,,
Non-programme,EST,Estonia,MCV2,84,84,84,87,90,88,91,92,92,93,92,94,95,95,96,97,96,98,98,97,96,94,84,89
ESAR,SWZ,Eswatini,MCV2,82,77,69,70,75,75,70,76,83,89,89,52,92,99,99,99,99,99,99,99,99,99,,
ESAR,ETH,Ethiopia,MCV2,53,48,46,46,41,,,,,,,,,,,,,,,,,,,
EAPR,FJI,Fiji,MCV2,83,84,78,71,72,89,86,83,94,86,92,92,93,93,93,93,94,94,74,,,,,
Non-programme,FIN,Finland,MCV2,92,92,93,93,93,93,92,85,,,,,,,,,,,,,,,,
Non-programme,FRA,France,MCV2,93,92,91,90,86,83,80,80,79,77,75,72,67,61,,,,,,,,,,
WCAR,GMB,Gambia,MCV2,73,52,61,61,61,71,68,79,81,73,53,56,,,,,,,,,,,,
ECAR,GEO,Georgia,MCV2,86,78,81,77,97,96,90,85,91,87,89,79,77,84,71,87,92,88,87,75,57,40,8,
Non-programme,DEU,Germany,MCV2,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,92,92,90,91,89,83,77,,
