Location,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974
Afghanistan,2792,5166,2900,640,353,2012,1511,638,1154,492,430,2787,3013,1989,2861,1599,1141,1990,1296,466,798,2486,8762,6532,3609,2205,,,,,,,792,1609,1170,4561,10 357,8107,14 457,16 199,18 808,20 320,31 107,32 455,43 979,43 964,28 174,26,466,7
Albania,13,1,,4,488,1469,12,17,,,0,9,28,10,0,,22,68,6,7,8,16,18,662,797,1901,2386,1204,15,29,7,0,0,,136 034,0,0,0,0,0,17,3,,,,,,,,
Algeria,203,47,,,2585,3356,112,41,63,0,25,18,112,103,107,217,0,944,2302,3289,15 374,5862,2686,,2503,3301,19 573,21 003,8204,5913,3141,8823,5969,1796,4169,2634,2500,3975,20 114,22 553,22 126,29 584,20 849,15 527,14 937,10 696,12 015,15 646,8899,10 517
American Samoa,,,,,,,,,,,,,0,,,0,0,,0,0,,,0,1,0,2,12,0,0,0,0,0,19,498,2,3,1,2,28,0,0,2,3,16,3,31,56,11,445,34
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,2,,5,,,,,,,,,,,,,,,,,,,,,,,
Angola,3508,3271,300,1085,2987,57,29,53,119,11 699,8523,4458,1449,1190,2807,265,1014,765,258,29,1196,11 945,9046,2219,350,2576,8183,251,635,5480,9273,16 772,18 382,29 069,19 820,21 009,13 368,15 580,22 822,22 685,22 589,30 067,19 714,29 656,19 682,20 408,12 940,5492,2153,5881
Anguilla,0,0,0,0,0,0,0,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,1,15,7,2,0,0,0,0,0,1,0,0,259,4,0,17,,
Antigua and Barbuda,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,0,247,2291,534,10,4,9,3,1388
Argentina,0,2,0,69,130,14,3,0,0,1,0,2,3,17,3,0,0,0,0,0,0,0,0,6,313,10 229,125,59,655,134,5087,20 551,42 093,1967,4009,4751,8024,6448,9240,31 751,7106,4432,17 582,16 102,9985,9551,36 538,39 291,23 108,23 803
Armenia,554,0,0,0,7,19,1,2,33,13,10,0,0,2,0,0,1,137,2281,1783,4,40,69,15,41,52,802,2027,187,149,338,46,192,879,,,,,,,,,,,,,,,,
Aruba,,0,0,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,26,7,0,25,286,103,81,99,74,340,158,199,190,70,104,65,11,,10,70,91,32,141,108,235,327,853,498,1198,4895,4536,1425,1380,880,169,248,,,,,,,,,,,,,,
Austria,186,1,1,25,,77,95,27,309,117,,36,68,52,49,448,20,23,9,15,90,,0,,1,0,0,,,,60,,,,,,,,,,,,,,,,,,,
Azerbaijan,13 207,1,0,2,281,55,0,0,0,0,164,0,0,0,,5,0,222,1238,827,1978,4353,574,210,1081,2891,678,151,474,6478,1321,535,6122,2026,,,,,,,,,,,,,,,,
Bahamas,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,72,59,22,42,85,26,36,2868,50,45,484,1659,222,1831,933,14,432
Bahrain,3,18,0,0,3,0,0,0,0,46,,0,0,0,3,2,7,3,4,11,12,8,5,6,38,4,4,74,3,0,2,12,7,59,181,5,22,97,1910,1134,438,1147,329,1861,1781,1660,1263,4661,1009,3874
Bangladesh,281,311,203,2410,5827,2263,4001,972,240,289,237,1986,5625,788,718,2660,2924,6192,25 934,9743,4067,3484,4414,5098,5666,6522,10 329,4929,4995,9571,5443,5768,9292,1705,27 327,11 471,13 631,14 352,11 699,11 851,9569,18 116,10 441,11 077,31 895,18 576,22 973,40 171,3030,
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,51,2,1,2,2,7,5,6,6,41,27,16,35,1711,270,382,200
Belarus,193,0,3,0,201,259,1,10,2,64,16,10,50,1,0,0,1,149,1,2,21,14,45,21,153,517,135,395,1516,820,3874,2324,1351,224,,,,,,,,,,,,,,,,
Belgium,67,8,7,47,480,117,367,,47,70,39,109,576,40,33,98,64,15,26,61,44,,83,,,0,3869,7221,10 650,11 346,7373,9565,7216,,81 044,47 616,,,,,,,,,,,,,,
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,7,25,2,74,224,124,7,4,11,6,186,607,255,216,19,1341,429,8
Benin,478,455,35,18,437,493,97,89,55,786,637,288,426,392,1461,928,341,176,210,262,217,1588,5859,4244,2573,648,9521,1365,10 469,7557,4102,3049,5396,,3281,5275,13 180,7374,13 210,13 437,11 774,11 850,12 378,18 635,11 096,23 269,15 502,9514,13 235,16 364
Bermuda,0,0,0,0,0,0,0,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,56,4,0,3,1,20,4,22,13,99,10,6,848,23
Bhutan,10,7,,,2,18,66,45,11,0,0,1,10,21,6,7,11,2,11,3,0,27,756,418,9920,66,169,9,148,683,505,103,441,173,554,382,673,948,819,1321,1356,1868,1102,1642,894,440,,,,
Bolivia (Plurinational State of),0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,1441,1004,7,7,76,1441,3391,4937,2108,820,669,1793,987,346,217,1270,2034,720,7654,4181,5802,3363,8194,6427,2244,5318
Bosnia and Herzegovina,13,6,,,1404,62,18,133,1677,3000,,22,10,45,22,8,166,17,23,28,18,28,,43,133,2811,3937,,125,875,249,144,179,512,,,,,,,,,,,,,,,,
Botswana,63,1,0,5,0,0,0,1,0,1,1,7,8,853,184,0,1,6,5,1,59,7,1,2672,439,700,5032,1030,478,2447,5327,566,565,1218,3771,711,126,1018,1684,9249,6542,1512,2157,4091,8556,2483,8637,3495,8832,5625
