Country Name,Year,Birth_Rate,Health_Expenditure,Death_Rate,GDP_Growth,Measles_Immunization,Inflation,Under5_Mortality,Under5_Deaths,OOP_Expenditure,Basic_Drinking_Water,Population
Cameroon,2000,41.018,4.11237431,13.426,3.832417794,49.0,1.22719013,144.6,85743.0,77.51421356,56.3102137,15091594.0
Cameroon,2001,40.775,3.88486743,13.237,4.324261192,51.0,4.419772459,141.7,85752.0,73.2883606,57.0664322,15493253.0
Cameroon,2002,40.954,4.02669907,13.036,4.477026834,53.0,2.834422601,138.3,85819.0,70.18141174,57.80701597,15914033.0
Cameroon,2003,41.191,3.90227985,12.758,5.453153689,61.0,0.623163557,134.7,86125.0,71.51586914,58.53157578,16354326.0
Cameroon,2004,41.264,3.72798967,12.565,7.048862819,64.0,0.23364738,131.3,86407.0,73.89202118,59.24064783,16809407.0
Cameroon,2005,41.088,3.77274442,12.408,2.228270209,68.0,2.013539502,128.1,86673.0,74.33882904,59.93299225,17275171.0
Cameroon,2006,40.956,3.73662806,12.104,3.809583276,73.0,5.11757816,124.8,86603.0,74.35810852,60.60961695,17751333.0
Cameroon,2007,40.786,3.70858574,11.886,4.32758901,74.0,0.921402246,121.5,86517.0,74.99914551,61.27061571,18251866.0
Cameroon,2008,40.553,3.65843678,11.583,2.847677889,80.0,5.337806276,118.1,86133.0,74.24559021,61.91608624,18777081.0
Cameroon,2009,40.33,3.49997187,11.3,2.579251777,74.0,3.043618479,114.8,85738.0,76.76542664,62.54572904,19319274.0
Cameroon,2010,39.958,3.57742167,10.992,2.899024721,79.0,1.275380462,110.5,84349.0,76.0213623,63.16005285,19878036.0
Cameroon,2011,39.368,3.85282946,10.641,3.379211285,76.0,2.939699463,106.3,82729.0,69.64955139,63.7587753,20448873.0
Cameroon,2012,38.76,3.9310236,10.235,4.625978722,82.0,2.735296775,102.0,80656.0,66.84483337,64.34202313,21032684.0
Cameroon,2013,38.237,3.63111043,9.833,4.995529161,83.0,2.05034718,97.5,78282.0,69.72429657,64.90954947,21632850.0
Cameroon,2014,37.818,3.78765464,9.548,5.719818145,78.0,1.854898504,93.4,76267.0,64.50547791,65.46150775,22299585.0
Cameroon,2015,37.807,3.59505081,9.179,5.666952987,74.0,2.676235314,89.3,74537.0,69.94251251,65.99804744,23012646.0
Cameroon,2016,37.747,3.5937767,8.886,4.535794237,71.0,0.874190383,85.9,73617.0,69.96035767,66.51931924,23711630.0
Cameroon,2017,37.403,3.39752436,8.594,3.541176549,65.0,0.64040915,82.7,72603.0,75.58334351,67.02480944,24393181.0
